id,age,income,home,emp_length,intent,amount,rate,status,percent_income,default,cred_length,age_group
1,21,9600,Own,5,Education,1000,11.14,0,0.1,N,2,20-24
2,25,9600,Mortgage,1,Medical,5500,12.87,1,0.57,N,3,25-29
3,23,65500,Rent,4,Medical,35000,15.23,1,0.53,N,2,20-24
4,24,54400,Rent,8,Medical,35000,14.27,1,0.55,Y,4,20-24
5,21,9900,Own,2,Venture,2500,7.14,1,0.25,N,2,20-24
6,26,77100,Rent,8,Education,35000,12.42,1,0.45,N,3,25-29
7,24,78956,Rent,5,Medical,35000,11.11,1,0.44,N,4,20-24
8,24,83000,Rent,8,Personal,35000,8.9,1,0.42,N,2,20-24
9,21,10000,Own,6,Venture,1600,14.74,1,0.16,N,3,20-24
10,22,85000,Rent,6,Venture,35000,10.37,1,0.41,N,4,20-24
11,21,10000,Own,2,Homeimprovement,4500,8.63,1,0.45,N,2,20-24
12,23,95000,Rent,2,Venture,35000,7.9,1,0.37,N,2,20-24
13,26,108160,Rent,4,Education,35000,18.39,1,0.32,N,4,25-29
14,23,115000,Rent,2,Education,35000,7.9,0,0.3,N,4,20-24
15,23,500000,Mortgage,7,Debtconsolidation,30000,10.65,0,0.06,N,3,20-24
16,23,120000,Rent,0,Education,35000,7.9,0,0.29,N,4,20-24
17,23,92111,Rent,7,Medical,35000,20.25,1,0.32,N,4,20-24
18,23,113000,Rent,8,Debtconsolidation,35000,18.25,1,0.31,N,4,20-24
19,24,10800,Mortgage,8,Education,1750,10.99,1,0.16,N,2,20-24
20,25,162500,Rent,2,Venture,35000,7.49,0,0.22,N,4,25-29
21,25,137000,Rent,9,Personal,34800,16.77,0,0.25,Y,2,25-29
22,22,65000,Rent,4,Education,34000,17.58,1,0.52,N,4,20-24
23,24,10980,Own,0,Personal,1500,7.29,0,0.14,N,3,20-24
24,22,80000,Rent,3,Personal,33950,14.54,1,0.42,Y,4,20-24
25,24,67746,Rent,8,Homeimprovement,33000,12.68,1,0.49,N,3,20-24
26,21,11000,Mortgage,3,Venture,4575,17.74,1,0.42,Y,3,20-24
27,23,11000,Own,0,Personal,1400,9.32,0,0.13,N,3,20-24
28,24,65000,Rent,6,Homeimprovement,32500,9.99,1,0.5,N,3,20-24
29,21,11389,Other,5,Education,4000,12.84,1,0.35,Y,2,20-24
30,21,11520,Own,5,Medical,2000,11.12,1,0.17,N,3,20-24
31,25,120000,Rent,2,Venture,32000,6.62,0,0.27,N,2,25-29
32,26,95000,Rent,7,Homeimprovement,31050,14.17,1,0.33,Y,3,25-29
33,25,306000,Rent,2,Debtconsolidation,24250,13.85,0,0.08,N,3,25-29
34,26,300000,Mortgage,10,Medical,7800,13.49,0,0.03,N,4,25-29
35,21,12000,Own,5,Education,2500,7.51,1,0.21,N,4,20-24
36,22,48000,Rent,1,Education,30000,18.39,1,0.63,N,2,20-24
37,24,64000,Rent,8,Debtconsolidation,30000,14.54,1,0.47,Y,3,20-24
38,25,75000,Rent,4,Homeimprovement,30000,16.89,1,0.4,Y,4,25-29
39,23,71500,Rent,3,Debtconsolidation,30000,10.99,1,0.42,N,4,20-24
40,26,62050,Rent,6,Medical,30000,17.99,1,0.41,N,2,25-29
41,24,12000,Own,4,Venture,2500,12.69,1,0.21,N,3,20-24
42,26,300000,Mortgage,10,Venture,20000,7.88,0,0.07,N,4,25-29
43,23,300000,Own,1,Education,24250,19.41,0,0.08,Y,2,20-24
44,26,300000,Own,9,Homeimprovement,10000,10.38,0,0.03,N,4,25-29
45,26,300000,Mortgage,0,Education,25000,15.33,0,0.08,N,3,25-29
46,25,300000,Mortgage,9,Homeimprovement,18000,16.45,0,0.06,N,3,25-29
47,26,80690,Rent,8,Personal,30000,7.49,1,0.37,N,3,25-29
48,22,66300,Rent,4,Medical,30000,12.69,1,0.38,N,3,20-24
49,26,89028,Rent,0,Debtconsolidation,30000,6.62,1,0.34,N,3,25-29
50,24,78000,Rent,4,Debtconsolidation,30000,10.99,1,0.38,Y,4,20-24
51,23,78000,Rent,7,Debtconsolidation,30000,18.62,1,0.38,Y,3,20-24
52,23,92004,Rent,6,Personal,30000,15.23,1,0.33,Y,3,20-24
53,23,97000,Rent,7,Venture,30000,10.65,1,0.31,N,2,20-24
54,25,120000,Rent,9,Education,30000,7.9,0,0.25,N,4,25-29
55,26,280000,Rent,4,Personal,10000,15.96,0,0.04,Y,3,25-29
56,26,277104,Rent,0,Venture,20000,11.48,0,0.07,N,3,25-29
57,23,277000,Own,3,Personal,35000,10.99,0,0.13,N,4,20-24
58,25,128000,Rent,9,Personal,30000,7.29,0,0.23,N,4,25-29
59,24,12000,Own,2,Venture,1750,10.99,0,0.15,Y,3,20-24
60,21,131000,Rent,0,Venture,30000,5.99,0,0.23,N,4,20-24
61,22,275000,Own,6,Venture,12000,11.58,0,0.04,N,2,20-24
62,26,263000,Mortgage,0,Education,10000,10.99,1,0.04,N,4,25-29
63,25,221850,Mortgage,9,Medical,25000,15.7,1,0.1,N,2,25-29
64,22,70000,Rent,6,Education,29100,15.99,1,0.42,N,3,20-24
65,22,12000,Mortgage,7,Education,1500,14.84,0,0.13,Y,3,20-24
66,26,260000,Own,10,Homeimprovement,28000,10.99,0,0.11,N,3,25-29
67,25,259000,Mortgage,9,Homeimprovement,20000,14.42,0,0.08,Y,2,25-29
68,24,255000,Mortgage,9,Education,9600,6.99,0,0.04,N,2,20-24
69,25,250000,Rent,2,Medical,25000,13.49,0,0.1,N,4,25-29
70,25,12000,Own,0,Medical,3000,10.99,1,0.25,N,3,25-29
71,22,56950,Rent,6,Medical,28000,10.99,1,0.49,N,2,20-24
72,21,12000,Own,6,Education,3000,13.61,1,0.25,Y,3,20-24
73,23,65000,Rent,2,Education,28000,7.9,1,0.43,N,2,20-24
74,26,85000,Rent,2,Venture,28000,7.49,1,0.33,N,3,25-29
75,26,12000,Own,2,Education,6100,7.51,1,0.51,N,3,25-29
76,22,88000,Rent,6,Venture,28000,9.91,1,0.32,N,3,20-24
77,21,12000,Own,0,Personal,4200,13.48,1,0.35,Y,4,20-24
78,22,12000,Own,6,Debtconsolidation,4750,7.14,1,0.4,N,2,20-24
79,24,83004,Rent,0,Venture,28000,15.99,1,0.34,Y,4,20-24
80,24,250000,Rent,2,Education,18000,12.98,0,0.07,Y,3,20-24
82,25,100000,Rent,5,Debtconsolidation,28000,12.69,0,0.28,N,3,25-29
83,26,110000,Rent,10,Education,28000,8.9,0,0.25,N,2,25-29
84,26,12000,Own,0,Debtconsolidation,2700,10.99,1,0.23,N,4,25-29
85,22,108000,Rent,6,Education,28000,10.99,1,0.26,N,4,20-24
86,23,151200,Rent,7,Debtconsolidation,28000,11.11,0,0.19,N,2,20-24
87,24,69000,Rent,2,Homeimprovement,27600,10.99,1,0.4,N,2,20-24
88,21,12000,Mortgage,5,Debtconsolidation,3250,15.68,1,0.27,Y,3,20-24
89,22,70000,Rent,4,Education,27500,13.06,1,0.39,Y,3,20-24
90,22,240000,Own,6,Personal,25000,10.99,0,0.1,N,2,20-24
91,26,73200,Rent,5,Venture,27050,15.62,1,0.37,Y,2,25-29
92,24,83000,Rent,5,Personal,27000,13.49,1,0.33,Y,2,20-24
93,24,73399,Rent,0,Venture,27000,10.99,1,0.37,N,3,20-24
94,23,62500,Rent,7,Medical,26000,11.71,1,0.42,N,2,20-24
95,23,120000,Rent,1,Education,25600,12.69,0,0.21,N,3,20-24
96,24,12360,Own,2,Medical,1600,13.57,0,0.13,N,3,20-24
97,22,60000,Rent,0,Venture,25475,10.99,1,0.42,N,3,20-24
98,25,234000,Mortgage,3,Medical,20000,14.27,0,0.09,Y,4,25-29
99,24,234000,Own,8,Homeimprovement,20000,8.88,0,0.09,N,4,20-24
100,26,234000,Mortgage,10,Homeimprovement,21600,12.18,0,0.09,N,3,25-29
101,25,221004,Mortgage,6,Debtconsolidation,11900,14.42,1,0.05,Y,3,25-29
102,26,232500,Mortgage,0,Medical,25000,14.17,0,0.11,Y,2,25-29
103,25,230000,Mortgage,5,Medical,35000,13.99,0,0.15,N,4,25-29
104,23,83000,Rent,7,Education,25300,10.99,1,0.3,N,3,20-24
105,22,12600,Mortgage,4,Personal,2000,5.42,1,0.16,N,4,20-24
106,25,12600,Own,3,Personal,1750,13.61,0,0.14,N,3,25-29
107,21,42500,Rent,3,Education,25000,12.73,1,0.59,Y,3,20-24
108,24,41000,Rent,2,Homeimprovement,25000,10.99,1,0.61,N,3,20-24
109,25,12816,Own,0,Debtconsolidation,3000,12.87,1,0.23,Y,4,25-29
110,24,12960,Mortgage,1,Homeimprovement,3650,9.91,1,0.28,N,3,20-24
111,26,226000,Mortgage,4,Homeimprovement,20000,11.49,0,0.09,N,4,25-29
112,25,225000,Mortgage,0,Homeimprovement,30000,19.91,0,0.13,Y,2,25-29
113,26,213000,Mortgage,6,Education,35000,10.65,1,0.16,N,2,25-29
114,24,225000,Rent,0,Medical,6000,10.99,0,0.03,N,4,20-24
115,24,12960,Mortgage,0,Debtconsolidation,4500,11.83,1,0.35,N,4,20-24
116,23,12996,Own,0,Debtconsolidation,2400,13.49,1,0.18,Y,2,20-24
117,22,42000,Rent,6,Medical,25000,14.59,1,0.6,Y,2,20-24
118,26,48000,Rent,2,Education,25000,9.64,1,0.52,N,4,25-29
119,25,12996,Own,1,Medical,3600,14.59,1,0.28,N,3,25-29
120,22,12996,Own,1,Education,4750,10.99,1,0.37,N,3,20-24
121,25,42360,Rent,1,Education,25000,16.35,1,0.59,Y,3,25-29
122,21,49000,Rent,4,Education,25000,10.99,1,0.51,N,2,20-24
123,25,225000,Mortgage,0,Venture,25000,18.67,0,0.11,N,2,25-29
124,26,225000,Rent,1,Education,3000,9.32,0,0.01,N,4,25-29
125,23,225000,Rent,8,Debtconsolidation,7500,8.63,0,0.03,N,2,20-24
126,26,225000,Mortgage,2,Venture,25000,10.08,0,0.11,N,2,25-29
127,22,49464,Rent,5,Personal,25000,11.83,1,0.51,N,3,20-24
